run_id,method,seed,scene,scope,group,tx,count,accuracy_pct,macro_f1_pct,macro_recall_pct
V2_A_seed392005,V2_A,392005,clean,overall,all,,168000,76.90416666666667,77.07290667055796,76.90416666666667
V2_A_seed392005,V2_A,392005,clean,overall_tx,all,0,28000,87.25714285714285,,
V2_A_seed392005,V2_A,392005,clean,overall_tx,all,1,28000,58.128571428571426,,
V2_A_seed392005,V2_A,392005,clean,overall_tx,all,2,28000,68.76071428571429,,
V2_A_seed392005,V2_A,392005,clean,overall_tx,all,3,28000,65.9,,
V2_A_seed392005,V2_A,392005,clean,overall_tx,all,4,28000,99.9,,
V2_A_seed392005,V2_A,392005,clean,overall_tx,all,5,28000,81.47857142857143,,
V2_A_seed392005,V2_A,392005,clean,receiver,0,,24000,83.27916666666667,82.33493500013621,83.27916666666665
V2_A_seed392005,V2_A,392005,clean,receiver_tx,0,0,4000,99.425,,
V2_A_seed392005,V2_A,392005,clean,receiver_tx,0,1,4000,39.475,,
V2_A_seed392005,V2_A,392005,clean,receiver_tx,0,2,4000,77.7,,
V2_A_seed392005,V2_A,392005,clean,receiver_tx,0,3,4000,90.7,,
V2_A_seed392005,V2_A,392005,clean,receiver_tx,0,4,4000,99.8,,
V2_A_seed392005,V2_A,392005,clean,receiver_tx,0,5,4000,92.575,,
V2_A_seed392005,V2_A,392005,clean,receiver,2,,24000,63.65833333333333,60.61850478600878,63.65833333333334
V2_A_seed392005,V2_A,392005,clean,receiver_tx,2,0,4000,92.9,,
V2_A_seed392005,V2_A,392005,clean,receiver_tx,2,1,4000,63.275000000000006,,
V2_A_seed392005,V2_A,392005,clean,receiver_tx,2,2,4000,35.3,,
V2_A_seed392005,V2_A,392005,clean,receiver_tx,2,3,4000,2.075,,
V2_A_seed392005,V2_A,392005,clean,receiver_tx,2,4,4000,99.925,,
V2_A_seed392005,V2_A,392005,clean,receiver_tx,2,5,4000,88.47500000000001,,
