run_id,scene,group_id,count,correct,accuracy,macro_precision,macro_recall,macro_f1,worst_tx_accuracy
V2_A_seed392005,clean,1,9000,8803,0.9781111111111112,0.9785764848117329,0.978111111111111,0.9780618285732728,0.9253333333333333
V2_A_seed392005,clean,2,9000,8874,0.986,0.9861482416805213,0.9859999999999999,0.9859823338368924,0.9566666666666667
V2_A_seed392005,clean,3,9000,8797,0.9774444444444444,0.9776782902127407,0.9774444444444446,0.977429865511593,0.9453333333333334
V2_A_seed392005,leo_clear_weak,1,9000,7756,0.8617777777777778,0.8725970385300278,0.8617777777777778,0.8600166578268275,0.6326666666666667
V2_A_seed392005,leo_clear_weak,2,9000,7880,0.8755555555555555,0.8833287020880389,0.8755555555555555,0.8732540762177209,0.6346666666666667
V2_A_seed392005,leo_clear_weak,3,9000,7900,0.8777777777777778,0.8819355860839192,0.8777777777777778,0.877061913652016,0.734
V2_A_seed392005,leo_low_elev_weak,1,9000,7401,0.8223333333333334,0.8315616565763855,0.8223333333333334,0.8191148601260146,0.5926666666666667
V2_A_seed392005,leo_low_elev_weak,2,9000,7606,0.8451111111111111,0.8537719593840261,0.845111111111111,0.8417849615922647,0.5913333333333334
V2_A_seed392005,leo_low_elev_weak,3,9000,7596,0.844,0.8486996556745936,0.844,0.8420236636831304,0.672
V2_A_seed392005,leo_rain_weak,1,9000,7504,0.8337777777777777,0.8422925266536616,0.8337777777777777,0.8315386974960908,0.6193333333333333
V2_A_seed392005,leo_rain_weak,2,9000,7551,0.839,0.8463229944111993,0.839,0.8364759883274268,0.628
V2_A_seed392005,leo_rain_weak,3,9000,7539,0.8376666666666667,0.8410580610029373,0.8376666666666667,0.8360364889830879,0.68
V2_A_seed392006,clean,1,9000,8819,0.9798888888888889,0.9799987348453033,0.9798888888888889,0.9798637667899527,0.9466666666666667
V2_A_seed392006,clean,2,9000,8845,0.9827777777777778,0.9829067449164087,0.9827777777777778,0.9827626794400862,0.9526666666666667
V2_A_seed392006,clean,3,9000,8776,0.9751111111111112,0.9751100755217087,0.9751111111111112,0.9750780860038898,0.9506666666666667
V2_A_seed392006,leo_clear_weak,1,9000,7983,0.887,0.8923401392029763,0.887,0.8870203610380266,0.7266666666666667
V2_A_seed392006,leo_clear_weak,2,9000,8111,0.9012222222222223,0.9047600470120454,0.9012222222222221,0.90116954439892,0.754
V2_A_seed392006,leo_clear_weak,3,9000,8000,0.8888888888888888,0.8903199530484924,0.8888888888888888,0.8890357803618683,0.8106666666666666
V2_A_seed392006,leo_low_elev_weak,1,9000,7575,0.8416666666666667,0.8461320384859743,0.8416666666666667,0.842065442259114,0.6966666666666667
V2_A_seed392006,leo_low_elev_weak,2,9000,7773,0.8636666666666667,0.8667732704635221,0.8636666666666667,0.8631908389009769,0.7046666666666667
V2_A_seed392006,leo_low_elev_weak,3,9000,7651,0.8501111111111112,0.8520403451230605,0.850111111111111,0.8501598063997874,0.7346666666666667
V2_A_seed392006,leo_rain_weak,1,9000,7703,0.8558888888888889,0.8585554844849804,0.8558888888888889,0.8559079955987898,0.726
V2_A_seed392006,leo_rain_weak,2,9000,7753,0.8614444444444445,0.8629153786736515,0.8614444444444445,0.861218104837779,0.7273333333333334
V2_A_seed392006,leo_rain_weak,3,9000,7609,0.8454444444444444,0.8460991767995,0.8454444444444444,0.8449971450777309,0.6873333333333334
V2_A_seed392007,clean,1,9000,8850,0.9833333333333333,0.9833680049154051,0.9833333333333333,0.9833242107190602,0.9653333333333334
V2_A_seed392007,clean,2,9000,8868,0.9853333333333333,0.9853442207999462,0.9853333333333333,0.9853282637614963,0.9713333333333334
V2_A_seed392007,clean,3,9000,8808,0.9786666666666667,0.9787162501533647,0.9786666666666667,0.9786641249219105,0.9646666666666667
V2_A_seed392007,leo_clear_weak,1,9000,7703,0.8558888888888889,0.8651755183991717,0.8558888888888889,0.8567927526361907,0.658
V2_A_seed392007,leo_clear_weak,2,9000,7911,0.879,0.8906604794846436,0.879,0.8792237446770148,0.6666666666666666
V2_A_seed392007,leo_clear_weak,3,9000,7816,0.8684444444444445,0.8770093089307484,0.8684444444444445,0.8687709019309243,0.6713333333333333
