run_id,scene,count,correct,accuracy,macro_precision,macro_recall,macro_f1,worst_tx_accuracy,worst_tx,worst_rx,worst_rx_accuracy
V2_A_seed392005,clean,27000,26474,0.9805185185185186,0.9807659034522888,0.9805185185185185,0.9804912126450537,0.9424444444444444,3,3,0.9531481481481482
V2_A_seed392005,leo_clear_weak,27000,23536,0.8717037037037038,0.8790557166976144,0.8717037037037038,0.8702973883194071,0.6671111111111111,0,3,0.7716666666666666
V2_A_seed392005,leo_low_elev_weak,27000,22603,0.8371481481481482,0.844555993868827,0.8371481481481483,0.8344691407969989,0.6186666666666667,0,3,0.7464814814814815
V2_A_seed392005,leo_rain_weak,27000,22594,0.8368148148148148,0.8430976115850024,0.8368148148148148,0.8347825167666402,0.648,0,3,0.7427777777777778
V2_A_seed392006,clean,27000,26440,0.9792592592592593,0.9793099113555632,0.9792592592592593,0.9792390601269886,0.9517777777777777,3,3,0.9490740740740741
V2_A_seed392006,leo_clear_weak,27000,24094,0.8923703703703704,0.8956135550773899,0.8923703703703704,0.8924924059193415,0.7646666666666667,0,3,0.7653703703703704
V2_A_seed392006,leo_low_elev_weak,27000,22999,0.8518148148148148,0.8547318617583838,0.8518148148148148,0.851828335327327,0.7231111111111111,0,3,0.7325925925925926
V2_A_seed392006,leo_rain_weak,27000,23065,0.8542592592592593,0.8557891328081983,0.8542592592592592,0.8540892419116791,0.7135555555555556,3,3,0.7425925925925926
V2_A_seed392007,clean,27000,26526,0.9824444444444445,0.9824637209426447,0.9824444444444445,0.9824383675214646,0.9671111111111111,3,3,0.95
V2_A_seed392007,leo_clear_weak,27000,23430,0.8677777777777778,0.8772511793019225,0.8677777777777779,0.868618170485748,0.7053333333333334,0,3,0.7812962962962963
V2_A_seed392007,leo_low_elev_weak,27000,22578,0.8362222222222222,0.8478968316365204,0.8362222222222222,0.8373388782743884,0.6668888888888889,0,3,0.7605555555555555
V2_A_seed392007,leo_rain_weak,27000,22657,0.8391481481481482,0.847607633231402,0.8391481481481482,0.8397016879954515,0.6502222222222223,1,3,0.7483333333333333
V2_B_seed392005,clean,27000,26514,0.982,0.9820354132126746,0.9820000000000001,0.9819777292088108,0.9628888888888889,3,3,0.9562962962962963
V2_B_seed392005,leo_clear_weak,27000,23929,0.8862592592592593,0.8868904409156376,0.8862592592592593,0.884949748197721,0.7713333333333333,3,3,0.7812962962962963
V2_B_seed392005,leo_low_elev_weak,27000,22924,0.849037037037037,0.847772007164327,0.8490370370370371,0.8458790963344408,0.6895555555555556,3,3,0.7568518518518519
V2_B_seed392005,leo_rain_weak,27000,22858,0.8465925925925926,0.8445789161971576,0.8465925925925926,0.8432224712583244,0.6628888888888889,3,3,0.7612962962962962
