run_id,term,first_nonzero_epoch,nonzero_epoch_count,final_value,E1_79_mean,E80_130_mean,E131_200_mean
V2_A_seed392005,tx,1,200,1.4708400583084749,4.176268463655517,2.3200381516086526,1.6770407433217016
V2_A_seed392005,dom,1,200,0.7077946644656512,1.314205304007603,0.8518641947292719,0.7347834817348347
V2_A_seed392005,adv,,0,0.0,0.0,0.0,0.0
V2_A_seed392005,orth,1,200,0.007177546979118214,0.0018638383253081051,0.004413415716922815,0.006286350813968875
V2_A_seed392005,cons,17,184,0.2823859063946471,0.28718211761096196,0.31447545958070955,0.2930318383103557
V2_A_seed392005,group_ce,1,200,2.751908388064832,6.1655689066185015,3.9272361076584144,3.129972707573596
V2_A_seed392005,fishr,1,200,0.0023867948784383622,0.006792195215379483,0.003762695645471823,0.0029846021878919475
V2_A_seed392005,proto,1,200,0.21674865788343,0.33267757479410337,0.2707924292523081,0.23167129639460116
V2_A_seed392005,open_world_feat,12,189,0.0722236296123996,0.08843611751268521,0.09476367459998053,0.07764392578295559
V2_A_seed392005,zid_compact,8,193,1.5091761204661156,1.2653920702690133,1.5933233395057853,1.5381711569888947
V2_A_seed392005,proxy_unknown,45,156,6.262958098431023,2.3607477591546493,7.349990735200941,6.482641232048457
V2_A_seed392005,soft_unknown_mixup,25,176,2.17394398426523,1.5760915065225136,2.5348140421558636,2.3071189076142824
V2_A_seed392005,source_episode,20,181,0.06174177482572137,0.052566508599839676,0.07556468804812982,0.06853413746227936
V2_A_seed392005,sat_cls,80,121,3.428709176121926,0.0,5.453654007608292,3.976475345914635
V2_A_seed392006,tx,1,200,1.2809454166159338,4.022281954852656,2.222713627735106,1.6548392818029698
V2_A_seed392006,dom,1,200,0.6881654171311126,1.3126758252179336,0.8854306175642941,0.7669878354659928
V2_A_seed392006,adv,,0,0.0,0.0,0.0,0.0
V2_A_seed392006,orth,1,200,0.0063398247465909436,0.0019257669917441202,0.004356055872946871,0.0057487240117123015
V2_A_seed392006,cons,17,184,0.27778864727944746,0.2944849673451702,0.3290848820721831,0.2961234610039013
V2_A_seed392006,group_ce,1,200,2.5802273604334616,6.083788500679645,3.9702073354490186,3.151044228981431
V2_A_seed392006,fishr,1,200,0.002212449882122479,0.0066443481305807186,0.003924826237616529,0.0030043495324196864
V2_A_seed392006,proto,1,200,0.2094386344661518,0.3242005144816842,0.2657900964047442,0.23002280764955127
V2_A_seed392006,open_world_feat,12,189,0.06834548776399116,0.08206697709087808,0.09467124886491766,0.07891179799990125
V2_A_seed392006,zid_compact,8,193,1.506454949476281,1.267655651446685,1.6082224414175919,1.5420672095899333
V2_A_seed392006,proxy_unknown,45,156,6.129056541287169,2.2583381154068496,7.036078070487533,6.407613193050418
V2_A_seed392006,soft_unknown_mixup,25,176,2.175852053019465,1.5472592225188095,2.5072719149705933,2.298524907101
V2_A_seed392006,source_episode,20,181,0.05827746570718532,0.05651091420930384,0.0855007413074094,0.06968869935740166
V2_A_seed392006,sat_cls,80,121,3.2471073354993547,0.0,5.051152968320812,3.8406450467276505
V2_A_seed392007,tx,1,200,1.621034026145935,4.289724922933125,2.3734582167785137,1.7044685567454938
V2_A_seed392007,dom,1,200,0.7315528867196064,1.3057934880041084,0.8764909634522411,0.7497110860688345
V2_A_seed392007,adv,,0,0.0,0.0,0.0,0.0
V2_A_seed392007,orth,1,200,0.005493991300273611,0.0021201903486201944,0.005035888003755938,0.0058979926283655665
V2_A_seed392007,cons,17,184,0.2967690016542162,0.2996409753709454,0.3243579412398695,0.2935455245413864
V2_A_seed392007,group_ce,1,200,3.0507485513784447,6.38659729669027,4.010438551004527,3.1366079457060763
V2_A_seed392007,fishr,1,200,0.0028996819722922327,0.006985981028508496,0.003956465506817637,0.002962116359177442
V2_A_seed392007,proto,1,200,0.2265434657432595,0.33542964541074444,0.27586585271950004,0.23358221346018265
V2_A_seed392007,open_world_feat,12,189,0.08112221758584587,0.08679880930520537,0.09642084543945409,0.07732280268559216
V2_A_seed392007,zid_compact,8,193,1.5445880792578872,1.270032754604344,1.5982470176562447,1.5355864106044825
V2_A_seed392007,proxy_unknown,45,156,6.289285912805674,2.3454098153125096,7.3287086919957805,6.492224923653783
V2_A_seed392007,soft_unknown_mixup,25,176,2.278823365970534,1.5812338090926847,2.5534308677961848,2.3182972677595064
V2_A_seed392007,source_episode,20,181,0.07251315499294778,0.05650370802494664,0.08016845857498704,0.06768443994319104
V2_A_seed392007,sat_cls,80,121,3.528855479493433,0.0,5.528417007214263,4.102123212953351
V2_B_seed392005,tx,1,200,1.5188026102829952,4.202303191829301,2.359835923678067,1.705401790667727
V2_B_seed392005,dom,1,200,0.7066244841838369,1.3121855834047174,0.8512677291885955,0.7342662705885078
V2_B_seed392005,adv,1,200,2.664873561080621,2.671987810174306,2.6764045118474638,2.6729337328029446
V2_B_seed392005,orth,1,200,0.005893830824120693,0.0016924555460182066,0.004060176864140139,0.0057459555244599005
V2_B_seed392005,cons,17,184,0.2822659912766243,0.2873516180770276,0.31539670990056257,0.29032085982773115
V2_B_seed392005,group_ce,1,200,2.820216353754608,6.195031980355252,3.9753456464549357,3.1705703867333277
V2_B_seed392005,fishr,1,200,0.00245561504250093,0.006767114060837379,0.003801595803000056,0.003017232406261054
V2_B_seed392005,proto,1,200,0.21786505379238907,0.33318178434222284,0.2724846649069746,0.2298923758610692
V2_B_seed392005,open_world_feat,12,189,0.07470996039254325,0.08968438007986715,0.09655405010650901,0.07789344286203993
V2_B_seed392005,zid_compact,8,193,1.5213551813242387,1.2674549744986296,1.5991557416270952,1.5405985570857545
V2_B_seed392005,proxy_unknown,45,156,6.268551028504664,2.3645165437754043,7.362862308772386,6.484528296473423
V2_B_seed392005,soft_unknown_mixup,25,176,2.204925162451608,1.580661618391601,2.5475785322502262,2.3116358161320143
V2_B_seed392005,source_episode,20,181,0.06554065572516042,0.05371358680470987,0.07800790847052916,0.06888671661374152
V2_B_seed392005,sat_cls,80,121,3.5737277050407563,0.0,5.540241201670946,4.024349188526587
V2_B_seed392006,tx,1,200,1.3449367503730618,4.030846301844433,2.2473759164704994,1.6783302940406535
V2_B_seed392006,dom,1,200,0.6968415026762047,1.3099980964059517,0.8810123489851377,0.7660246923174872
V2_B_seed392006,adv,1,200,2.6724919688944913,2.676877309912029,2.6721744752970156,2.6693901662576303
V2_B_seed392006,orth,1,200,0.005742275937726455,0.0020107933729930764,0.005091002223104201,0.005664114670410688
V2_B_seed392006,cons,17,184,0.27315420307675187,0.29374205931786324,0.32351843224448557,0.2927723392409764
V2_B_seed392006,group_ce,1,200,2.665058061176417,6.080257930564067,3.969134633507238,3.196554856762594
V2_B_seed392006,fishr,1,200,0.002287511745282468,0.0066022138674859555,0.003910422706197636,0.003047836036771368
V2_B_seed392006,proto,1,200,0.2070769615927521,0.3275906103074905,0.26431312058724704,0.22776479128063942
V2_B_seed392006,open_world_feat,12,189,0.06821730603673021,0.08530845768228597,0.09392900929293212,0.0790364501308161
V2_B_seed392006,zid_compact,8,193,1.5087145493955028,1.2759573726910733,1.605046037580071,1.5454068742410088
V2_B_seed392006,proxy_unknown,45,156,6.172033494832564,2.2810051801461206,7.10631476807184,6.435120790414838
V2_B_seed392006,soft_unknown_mixup,25,176,2.211988850515716,1.5475317478099093,2.509061642626182,2.302930207780777
V2_B_seed392006,source_episode,20,181,0.05877607068693151,0.05724644401527891,0.08301657373283138,0.06956268489284784
V2_B_seed392006,sat_cls,80,121,3.262456937712066,0.0,5.105337020252742,3.8777844382444555
V2_B_seed392007,tx,1,200,1.5246973043801832,4.2830467072761325,2.305635779070444,1.6579956001729728
V2_B_seed392007,dom,1,200,0.7239410494055066,1.3059950296929934,0.8774220328442618,0.7550603431967188
