method_label,method,cell_id,receiver,seed,new_class_count,k_shot,scenario,no_leo_old_acc_before_increment,leo_old_acc_before_increment,delta_old_acc_before_increment,no_leo_old_acc_after_increment,leo_old_acc_after_increment,delta_old_acc_after_increment,no_leo_seen_new_acc,leo_seen_new_acc,delta_seen_new_acc,no_leo_H_old_new,leo_H_old_new,delta_H_old_new,no_leo_candidate_average_forgetting,leo_candidate_average_forgetting,delta_candidate_average_forgetting,no_leo_min_old_class_acc,leo_min_old_class_acc,delta_min_old_class_acc
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_20,20-1,713102,1,20,leo_rain_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_1,20-1,713102,3,1,leo_clear_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_1,20-1,713102,3,1,leo_low_elev_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_1,20-1,713102,3,1,leo_rain_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_5,20-1,713102,3,5,leo_clear_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_5,20-1,713102,3,5,leo_low_elev_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_5,20-1,713102,3,5,leo_rain_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_10,20-1,713102,3,10,leo_clear_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_10,20-1,713102,3,10,leo_low_elev_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_10,20-1,713102,3,10,leo_rain_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_20,20-1,713102,3,20,leo_clear_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_20,20-1,713102,3,20,leo_low_elev_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.06666666666666671,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_20,20-1,713102,3,20,leo_rain_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_1,20-1,713102,20,1,leo_clear_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_1,20-1,713102,20,1,leo_low_elev_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_1,20-1,713102,20,1,leo_rain_weak,0.825,0.825,0.0,0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_5,20-1,713102,20,5,leo_clear_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.035,0.0575,-0.0225,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_5,20-1,713102,20,5,leo_low_elev_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.0475,0.055,-0.0075,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_5,20-1,713102,20,5,leo_rain_weak,0.825,0.825,0.0,0.0,0.0,0.0,0.0475,0.0525,-0.0049999999999999975,0.0,0.0,0.0,0.8250000000000001,0.825,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_10,20-1,713102,20,10,leo_clear_weak,0.825,0.825,0.0,0.49166666666666664,0.0,0.49166666666666664,0.0175,0.065,-0.0475,0.033797054009819964,0.0,0.033797054009819964,0.3333333333333333,0.825,-0.49166666666666664,0.0,0.0,0.0
