row,scene,path,group,group_value,correct,count,accuracy
B4,leo_rain_weak,fused,day,3,22205,42000,52.86904761904762
B4,leo_rain_weak,fused,receiver_day,0:0,3309,6000,55.15
B4,leo_rain_weak,fused,receiver_day,0:1,4099,6000,68.31666666666666
B4,leo_rain_weak,fused,receiver_day,0:2,3915,6000,65.25
B4,leo_rain_weak,fused,receiver_day,0:3,3545,6000,59.083333333333336
B4,leo_rain_weak,fused,receiver_day,2:0,1961,6000,32.68333333333333
B4,leo_rain_weak,fused,receiver_day,2:1,2399,6000,39.983333333333334
B4,leo_rain_weak,fused,receiver_day,2:2,2572,6000,42.86666666666667
B4,leo_rain_weak,fused,receiver_day,2:3,2257,6000,37.61666666666667
B4,leo_rain_weak,fused,receiver_day,5:0,3312,6000,55.2
B4,leo_rain_weak,fused,receiver_day,5:1,4089,6000,68.15
B4,leo_rain_weak,fused,receiver_day,5:2,3947,6000,65.78333333333333
B4,leo_rain_weak,fused,receiver_day,5:3,3306,6000,55.1
B4,leo_rain_weak,fused,receiver_day,7:0,2777,6000,46.28333333333333
B4,leo_rain_weak,fused,receiver_day,7:1,2339,6000,38.983333333333334
B4,leo_rain_weak,fused,receiver_day,7:2,1629,6000,27.15
B4,leo_rain_weak,fused,receiver_day,7:3,2469,6000,41.15
B4,leo_rain_weak,fused,receiver_day,9:0,3132,6000,52.2
B4,leo_rain_weak,fused,receiver_day,9:1,3787,6000,63.11666666666667
B4,leo_rain_weak,fused,receiver_day,9:2,3673,6000,61.21666666666667
B4,leo_rain_weak,fused,receiver_day,9:3,4179,6000,69.65
B4,leo_rain_weak,fused,receiver_day,10:0,2937,6000,48.95
B4,leo_rain_weak,fused,receiver_day,10:1,2882,6000,48.03333333333333
B4,leo_rain_weak,fused,receiver_day,10:2,2625,6000,43.75
B4,leo_rain_weak,fused,receiver_day,10:3,3094,6000,51.56666666666667
B4,leo_rain_weak,fused,receiver_day,11:0,2945,6000,49.083333333333336
B4,leo_rain_weak,fused,receiver_day,11:1,3393,6000,56.55
